airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-03,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,No Info,17024
Vistara,2019-03-24,Kolkata,Bangalore,07:10:00,18:45:00,695,1.0,No Info,16932
Spicejet,2019-04-09,Bangalore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Indigo,2019-04-27,Bangalore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Air India,2019-06-12,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,7480
Indigo,2019-06-21,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,5755
Jet Airways,2019-03-21,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,5963
Jet Airways,2019-05-27,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,12898
Indigo,2019-03-03,Delhi,Cochin,06:40:00,15:30:00,530,1.0,No Info,14871
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,15544
Multiple Carriers,2019-03-27,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,7845
Indigo,2019-04-01,Bangalore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4591
Air India,2019-03-06,Mumbai,Hyderabad,21:10:00,16:55:00,255,2.0,No Info,17327
Indigo,2019-05-01,Bangalore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4077
Jet Airways,2019-03-21,Delhi,Cochin,10:20:00,18:50:00,1950,2.0,In-flight meal not included,9254
Air India,2019-05-18,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,10191
Jet Airways,2019-03-21,Bangalore,Delhi,11:40:00,10:25:00,1365,1.0,In-flight meal not included,7832
Spicejet,2019-03-15,Kolkata,Bangalore,22:20:00,00:40:00,140,0.0,No Info,3847
Air India,2019-03-24,Bangalore,Delhi,17:00:00,19:45:00,165,0.0,No Info,7486
Air India,2019-05-18,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,13486
Spicejet,2019-05-24,Kolkata,Bangalore,15:55:00,21:25:00,330,1.0,No Info,7804
Jet Airways,2019-06-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Jet Airways,2019-06-03,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,16079
Multiple Carriers,2019-06-03,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,7354
Spicejet,2019-06-27,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Spicejet,2019-03-18,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,3859
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,16:45:00,1505,1.0,No Info,12395
Indigo,2019-06-09,Kolkata,Bangalore,19:35:00,23:15:00,220,1.0,No Info,5276
Jet Airways,2019-03-24,Kolkata,Bangalore,21:10:00,19:40:00,1350,1.0,In-flight meal not included,10031
Spicejet,2019-04-15,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5221
Spicejet,2019-05-06,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-05-12,Kolkata,Bangalore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
Air Asia,2019-05-03,Kolkata,Bangalore,19:55:00,22:25:00,150,0.0,No Info,5989
Vistara,2019-03-03,Bangalore,Delhi,19:40:00,22:20:00,160,0.0,No Info,11913
Vistara,2019-05-24,Kolkata,Bangalore,07:10:00,18:50:00,700,1.0,No Info,9555
Spicejet,2019-05-21,Bangalore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3573
Indigo,2019-03-24,Kolkata,Bangalore,15:20:00,17:55:00,155,0.0,No Info,6985
Jet Airways,2019-05-09,Kolkata,Bangalore,17:00:00,09:45:00,1005,1.0,No Info,12121
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,11264
Air India,2019-03-15,Bangalore,Delhi,08:15:00,12:15:00,240,1.0,No Info,5013
Indigo,2019-04-15,Bangalore,Delhi,00:30:00,03:25:00,175,0.0,No Info,4284
Jet Airways,2019-05-12,Kolkata,Bangalore,20:25:00,23:35:00,1630,1.0,No Info,10953
Jet Airways,2019-06-12,Delhi,Cochin,11:45:00,12:35:00,1490,2.0,No Info,13882
Vistara,2019-06-01,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Spicejet,2019-03-18,Bangalore,Delhi,05:45:00,08:35:00,170,0.0,No check-in baggage included,4273
Indigo,2019-04-09,Kolkata,Bangalore,15:15:00,17:45:00,150,0.0,No Info,4174
Jet Airways,2019-03-15,Bangalore,Delhi,11:40:00,08:15:00,1235,1.0,In-flight meal not included,9134
Air India,2019-04-09,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,6674
Jet Airways,2019-03-15,Bangalore,Delhi,07:00:00,13:15:00,375,1.0,In-flight meal not included,9134
Multiple Carriers,2019-06-15,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,10877
Air India,2019-06-01,Kolkata,Bangalore,14:15:00,16:45:00,150,0.0,No Info,6245
Indigo,2019-04-09,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,6573
Jet Airways,2019-03-06,Mumbai,Hyderabad,14:20:00,16:50:00,1590,2.0,No Info,24115
Indigo,2019-03-12,Kolkata,Bangalore,05:30:00,08:20:00,170,0.0,No Info,4148
Air India,2019-03-01,Bangalore,Delhi,11:05:00,22:45:00,700,1.0,No Info,14069
Spicejet,2019-06-03,Kolkata,Bangalore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Air India,2019-06-09,Bangalore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Jet Airways,2019-03-06,Bangalore,Delhi,16:55:00,11:25:00,1110,1.0,No Info,17261
